11	0.111111
12	0.222222
14	0.333333
17	0.444444
18	0.555556
19	0.666667
22	0.777778
23	0.888889
24	1.000000
26	0.076923
27	0.153846
28	0.230769
29	0.307692
30	0.384615
21	0.461538
52	0.538462
56	0.615385
57	0.692308
58	0.769231
59	0.846154
60	0.923077
61	1.000000
15	0.037037
16	0.074074
20	0.111111
21	0.148148
32	0.185185
33	0.222222
34	0.259259
35	0.296296
36	0.333333
37	0.370370
38	0.407407
39	0.444444
40	0.481481
41	0.518519
42	0.555556
43	0.592593
44	0.629630
45	0.666667
46	0.703704
47	0.740741
48	0.777778
49	0.814815
50	0.851852
51	0.888889
53	0.925926
54	0.962963
55	1.000000
105	0.041667
106	0.083333
107	0.125000
108	0.166667
109	0.208333
111	0.250000
112	0.291667
113	0.333333
114	0.375000
115	0.416667
116	0.458333
117	0.500000
118	0.541667
119	0.583333
120	0.625000
121	0.666667
123	0.708333
124	0.750000
125	0.791667
126	0.833333
127	0.875000
128	0.916667
129	0.958333
195	1.000000

