11	0
12	0.111111
14	0.222222
17	0.333333
18	0.444444
19	0.555556
22	0.666667
23	0.777778
24	0.888889
26	0
27	0.076923
28	0.153846
29	0.230769
30	0.307692
21	0.384615
52	0.461538
56	0.538462
57	0.615385
58	0.692308
59	0.769231
60	0.846154
61	0.923077
15	0
16	0.037037
20	0.074074
21	0.111111
32	0.148148
33	0.185185
34	0.222222
35	0.259259
36	0.296296
37	0.333333
38	0.37037
39	0.407407
40	0.444444
41	0.481481
42	0.518519
43	0.555556
44	0.592593
45	0.62963
46	0.666667
47	0.703704
48	0.740741
49	0.777778
50	0.814815
51	0.851852
53	0.888889
54	0.925926
55	0.962963
105	0
109	0.041667
113	0.083333
114	0.125
115	0.166667
195	0.208333
123	0.25
118	0.291667
117	0.333333
116	0.375
106	0.416667
107	0.458333
125	0.5
126	0.541667
119	0.583333
128	0.625
129	0.666667
120	0.708333
121	0.75
111	0.791667
112	0.833333
108	0.875
127	0.916667
124	0.958333
